#date,checker,turbidity,ph,chlorine,temperature,conductivity
"16:00:00,","자곡동(자곡증압),",0.04,7.2,0.36,4.1,222.0
"16:00:00,","삼성동(삼성증압),",0.04,7.2,0.33,5.6,234.0
"17:00:00,","서초,",0.04,7.1,0.38,5.5,236.0
"17:00:00,","방배,",0.05,7.2,0.38,5.6,216.0
"17:00:00,","일원,",0.04,7.1,0.27,7.2,229.0
"17:00:00,",,0.02,7.2,0.41,5.4,226.0
"17:00:00,","도곡동(강남수도),",0.05,7.0,,4.8,216.0
"17:00:00,","반포,",0.05,7.0,0.36,6.1,240.0
"17:00:00,","내곡동(연간단가),",0.05,7.2,0.39,6.2,215.0
"17:00:00,","반포동(자이A),",0.03,7.0,0.4,4.3,199.0
"17:00:00,","방배동(청두공원),",,,,,
"17:00:00,","내곡,",0.04,7.0,0.34,8.3,220.0
"17:00:00,","우면동(품질시험소),",0.04,7.2,0.29,8.4,211.0
"17:00:00,","논현동(논현초교),",0.1,7.1,0.21,7.7,206.0
"17:00:00,","양재동(매헌초교),",0.11,7.1,0.32,7.1,
"17:00:00,","삼성,",0.02,7.0,,5.8,100.0
"17:00:00,","봉은,",0.05,,0.41,7.1,219.0
"17:00:00,","수서,",0.02,7.0,0.34,5.8,100.0
"17:00:00,","자곡동(자곡증압),",0.04,7.2,0.37,4.0,222.0
"17:00:00,","삼성동(삼성증압),",0.04,7.2,0.33,5.6,234.0
"18:00:00,","서초,",0.04,7.1,0.38,5.1,236.0
"18:00:00,","방배,",0.05,7.2,0.38,5.5,216.0
"18:00:00,","일원,",0.04,7.1,0.28,,228.0
"18:00:00,","우면산,",0.02,7.2,0.41,,226.0
"18:00:00,","도곡동(강남수도),",0.05,7.1,0.27,5.4,217.0
"18:00:00,","반포,",0.05,7.0,0.36,6.1,240.0
"18:00:00,","내곡동(연간단가),",0.05,7.2,0.33,6.1,215.0
"18:00:00,","반포동(자이A),",0.03,7.0,0.39,,199.0
"18:00:00,","방배동(청두공원),",,,,,
"18:00:00,","내곡,",0.05,,0.37,8.2,219.0
"18:00:00,","우면동(품질시험소),",0.04,7.2,0.31,8.5,211.0
"18:00:00,",,0.1,7.1,0.21,7.1,206.0
"18:00:00,","양재동(매헌초교),",0.11,7.1,0.32,7.1,202.0
"18:00:00,","삼성,",0.02,7.0,0.37,5.7,100.0
"18:00:00,","봉은,",0.05,7.1,0.41,7.1,220.0
"18:00:00,","수서,",0.02,7.0,0.35,5.7,100.0
"18:00:00,","자곡동(자곡증압),",0.04,7.2,0.35,4.0,223.0
"18:00:00,","삼성동(삼성증압),",0.04,7.2,0.35,5.4,234.0
"19:00:00,","서초,",0.04,7.1,0.37,5.7,237.0
"19:00:00,","방배,",0.05,7.2,0.37,5.5,216.0
"19:00:00,","일원,",0.04,7.1,0.36,7.0,228.0
